"Numero sentiero tratta";"Competenza";"Denominazione";"Difficoltà";"Località inizio";"Località fine";"Quota inizio";"Quota fine";"Quota minima";"Quota massima";"Lunghezza plaminetrica";"Lunghezza inclinata";"Tempo andata";"Tempo ritorno";"Gruppo montagne interessate";"Comuni toccati";
"O340B";"SEZ. SAT MOLVENO";"SENTIERO ATTREZZATO DELLE GROTTE SAA - EE";"E";"RIFUGIO LA MONTANARA (b.352B)";"SEGHE DEL MULON (b.340)";1,505;1,330;1,330;1,520;1,200;1,240;"00:30";"00:40";"DOLOMITI DI BRENTA est";"Molveno";
"O341";"RIF. XII APOSTOLI \"F.LLI GARBARI\"";"SENTIERO ATTREZZATO DELLA VAL DI SACCO SAA - EE";"EE";"pr. MALGA MOVLINA (b.354)";"RIF. XII APOSTOLI \"GARBARI\" (b.304-307-321)";1,803;2,487;1,742;2,578;5,000;5,160;"03:10";"02:45";"DOLOMITI DI BRENTA sud";"Bleggio Inferiore, Stenico";
"O341B";"SEZ. SAT STENICO";"";"E";"VAL NAMBI (b.333)";"BAITO DEI CACCIATORI (b.341)";1,450;1,800;1,450;1,800;1,800;1,840;"01:00";"00:45";"DOLOMITI DI BRENTA sud";"Bleggio Inferiore";
"O342";"SEZ. SAT SAN LORENZO IN BANALE";"";"E";"QUOTA 964 (b.349)";"MALGA SENASO DI SOTTO (b.325)";964;1,577;964;1,577;4,300;4,360;"02:00";"01:30";"DOLOMITI DI BRENTA sud";"S. Lorenzo in Banale";
"O344";"SEZ. SAT SPORMAGGIORE, SEZ. SAT MOLVENO";"";"E";"MALGA SPORA (b.301)";"VALLAZZA (b.322)";1,850;1,745;1,745;2,164;3,050;3,150;"02:00";"02:00";"DOLOMITI DI BRENTA est";"Spormaggiore, Molveno";
"O344B";"SEZ. SAT MOLVENO";"";"EE";"GRADECIA (b.352)";"PASSO DEL CLAMER (b.344)";1,668;2,164;1,668;2,350;3,000;3,150;"02:20";"01:50";"DOLOMITI DI BRENTA est";"Molveno, Spormaggiore";
"O345";"SEZ. SAT SAN LORENZO IN BANALE";"";"EE";"LA RI' - parcheggio (b.351)";"FORCOLOTTA DI NOGHERA (b.320)";1,050;2,423;1,050;2,423;10,210;10,470;"06:10";"05:10";"DOLOMITI DI BRENTA sud";"S. Lorenzo in Banale";
"O345B";"SEZ. SAT SAN LORENZO IN BANALE";"";"E";"PRADA (b.345)";"EGLO (b.351)";1,541;1,685;1,541;1,685;1,800;1,820;"01:00";"01:00";"DOLOMITI DI BRENTA sud";"S. Lorenzo in Banale";
"O346";"SEZ. SAT STENICO";"";"E";"PONTE PIA' - SS 237 km 97 (b.465B)";"PRATI DEL VALANDRO (b.348)";450;1,680;450;1,680;7,020;7,170;"03:45";"02:45";"DOLOMITI DI BRENTA sud";"Stenico";
"O346A";"SEZ. SAT STENICO";"";"E";"VAL LAONE (b.346)";"ARCA DI FRAPORTE";950;1,180;950;1,180;930;990;"00:30";"00:15";"DOLOMITI DI BRENTA sud";"Stenico";
"O347";"SEZ. SAT STENICO";"";"E";"VAL LAONE (b.346)";"CAPITEL DELLA SPINA (b.346)";841;1,386;841;1,395;4,700;4,780;"02:30";"02:00";"DOLOMITI DI BRENTA sud";"Stenico";
"O348";"SEZ. SAT STENICO, SEZ. SAT SAN LORENZO IN BANALE";"";"EE";"SEO";"RIFUGIO AL CACCIATORE (b.325-325B)";832;1,821;832;2,276;14,400;14,670;"07:30";"06:45";"DOLOMITI DI BRENTA sud";"Stenico, Dorsino, S. Lorenzo in Banale";
"O349";"SEZ. SAT SAN LORENZO IN BANALE";"";"E";"BAESA - Val d' Ambiez";"LAGHETTO D'ASBELZ (b.348)";820;2,019;798;2,019;6,000;6,190;"04:00";"03:00";"DOLOMITI DI BRENTA sud";"Dorsino";
"O349B";"SEZ. SAT STENICO, SEZ. SAT SAN LORENZO IN BANALE";"";"E";"SS 237 DEL CAFFARO - km 102 (b.411)";"PRA' USTIN - LE MASE (b.351)";460;1,150;367;1,150;9,220;9,340;"04:00";"03:15";"DOLOMITI DI BRENTA sud";"S. Lorenzo in Banale, Dorsino, Stenico, Lomaso";
"O350";"SEZ. SAT TIONE, SEZ. SAT STENICO, SEZ. SAT PINZOLO - ALTA RENDENA";"";"E";"MANEZ - frazione di Montagne";"MALGA PLAN (b.354)";1,184;1,600;1,184;1,732;9,590;9,680;"03:20";"03:00";"DOLOMITI DI BRENTA sud";"Montagne, Bocenago, Bleggio Inferiore, Massimeno";
"O351";"SEZ. SAT SAN LORENZO IN BANALE";"SENTIERO ATTREZZATO FORCELLA BREGAIN EE";"EEA";"LA RI' - parcheggio (b.345)";"BUSA DEI MALGANI (b.325B)";1,050;1,960;0;1,960;9,200;9,340;"04:30";"03:45";"DOLOMITI DI BRENTA sud";"S. Lorenzo in Banale";
"O351B";"SEZ. SAT SAN LORENZO IN BANALE";"";"E";"PONT DE PARIDE";"pr. MALGA BEN (b.351)";1,557;1,735;0;1,735;1,300;1,320;"00:40";"00:30";"DOLOMITI DI BRENTA sud";"S. Lorenzo in Banale";
"O352";"SEZ. SAT MOLVENO";"";"E";"LOCALITA' CROCE";"TOVO VALON (b.353)";950;1,960;950;1,960;5,590;5,710;"03:00";"02:10";"DOLOMITI DI BRENTA centrale";"Molveno";
"O352B";"SEZ. SAT MOLVENO";"";"E";"RIFUGIO LA MONTANARA (b.340B)";"PRATI DI MONTE (b.352)";1,505;1,820;1,505;1,830;2,900;2,940;"01:45";"01:30";"DOLOMITI DI BRENTA est";"Molveno";
"O353";"SEZ. SAT ANDALO";"";"E";"QUOTA 1466 (b.301)";"CAMPO DELLA SPORA (b.301)";1,466;1,877;1,466;2,130;5,730;5,830;"03:00";"02:30";"DOLOMITI DI BRENTA est";"Cavedago, Spormaggiore";
"O354";"SEZ. SAT PINZOLO - ALTA RENDENA";"";"E";"MASSIMENO";"pr. PASSO BANDALORS  (b.307)";861;1,845;861;1,847;7,100;7,220;"03:15";"02:30";"DOLOMITI DI BRENTA sud";"Massimeno, Bleggio Inferiore";
"O355";"SEZ. SAT DIMARO";"";"T";"pr. MALGA PRA'  DEL MAZA - SS 239";"pr. MALGA SCALE - ruderi (b.329)";1,525;1,590;1,504;1,630;4,800;4,870;"01:50";"01:50";"DOLOMITI DI BRENTA nord";"Pinzolo, Ragoli";
"O356";"SEZ. SAT CARÈ ALTO";"";"E";"PASSO DAONE - prà de l'Asen (b.300)";"PASSO DELLE MALGHETTE (b.350)";1,290;1,726;1,290;1,805;7,390;7,490;"02:40";"02:15";"DOLOMITI DI BRENTA sud";"Montagne, Bocenago, Bleggio Inferiore";
"O356A";"SEZ. SAT CARÈ ALTO";"";"E";"PRAMARCIU' (b.356)";"MAGRERA (b.350)";1,417;1,653;1,417;1,653;4,490;4,540;"01:30";"01:10";"DOLOMITI DI BRENTA sud";"Montagne, Bocenago, Bleggio Inferiore";
"O356B";"SEZ. SAT CARÈ ALTO";"";"E";"STABLEI (b.356A)";"PASSO CAMPIOL (b.356)";1,591;1,571;1,571;1,591;450;460;"00:15";"00:10";"DOLOMITI DI BRENTA sud";"Montagne, Bocenago, Bleggio Inferiore";
"O357";"SEZ. SAT PINZOLO - ALTA RENDENA";"SENTIERO DEL DOSS DEL SABION";"EE";"MALGA CIOCA";"PASSO BANDALORS  (b.307)";1,722;1,848;1,722;2,100;4,000;4,060;"01:30";"01:20";"DOLOMITI DI BRENTA sud";"Pinzolo, Giustino";
"O358";"RIF. VAL D'AMBIEZ \"SILVIO AGOSTINI\"";"VIA FERRATA ALPINISTICA \"LIVIO BRENTARI\" VF - EEA-D";"EEA-D";"pr. RIF. AMBIEZ S. AGOSTINI (b.321)";"RIFUGIO \"TOMMASO PEDROTTI\"  (b.318A-319)";2,440;2,487;2,440;2,859;4,900;5,020;"03:10";"03:00";"DOLOMITI DI BRENTA sud";"S. Lorenzo in Banale";
"O360";"SEZ. SAT SPORMINORE";"";"E";"SPORMINORE - piazza Anaunia";"SELLA DEL MONTOZ (b.338)";510;2,327;0;2,440;8,120;8,440;"05:45";"03:45";"DOLOMITI DI BRENTA est";"Sporminore";
"O361";"SEZ. SAT SPORMINORE";"";"E";"PLAN DE LE FRATE (b.360)";"CROZ DE LA MALGA  (b.360)";620;1,910;0;2,013;6,970;7,200;"04:15";"02:50";"DOLOMITI DI BRENTA est";"Sporminore, Campodenno";
"O361A";"SEZ. SAT VAL CADINO";"";"E";"QUOTA 1730 (b.362)";"QUOTA 1780 (b.361)";1,730;1,780;0;1,780;990;1,000;"00:15";"00:15";"DOLOMITI DI BRENTA est";"Campodenno";
"O362";"SEZ. SAT VAL CADINO";"";"E";"LOVER";"MALGA CAMPA (b.338 e 370)";600;1,970;600;1,970;6,710;6,920;"04:00";"02:30";"DOLOMITI DI BRENTA est";"Campodenno";
"O363";"SEZ. SAT VAL CADINO, SEZ. SAT SPORMINORE";"";"E";"QUOTA 1940 (b.362)";"COL (b.361)";1,940;2,013;0;2,100;1,810;1,840;"00:45";"00:40";"DOLOMITI DI BRENTA est";"Campodenno, Sporminore";
"O365";"SEZ. SAT DIMARO";"";"EE";"VAL PIANA (b.329)";"VERSANTE S CIMA SASSO ROSSO (b.329)";1,015;2,400;1,015;2,400;6,900;7,100;"04:30";"03:20";"DOLOMITI DI BRENTA nord";"Dimaro, Cles";
"O365B";"SEZ. SAT DIMARO";"SENTIERO DEI TOVI DI SANT ANTONI";"E";"VAL DEI CORNAI (b.365)";"QUOTA 1400 (b.329)";1,550;1,400;1,400;1,600;1,100;1,140;"00:30";"00:40";"DOLOMITI DI BRENTA nord";"Dimaro";
"O368";"SEZ. SAT DENNO";"SENTIERO TERRES";"E";"TERRES";"MALGA D'ARZA (b.330)";572;1,517;572;1,661;10,530;10,640;"04:15";"03:00";"DOLOMITI DI BRENTA est";"Terres";
"O369";"SEZ. SAT TUENNO";"SENTIERO DELLA VAL SCURA";"E";"PONTE SUL RIO TRESENGA (b.314-334)";"ALPE CAMPA (b.338)";1,560;2,236;1,560;2,376;6,300;6,400;"03:15";"03:00";"DOLOMITI DI BRENTA est";"Tuenno, Sporminore";
"O370";"SEZ. SAT DENNO";"";"E";"pr. MALGA D'ARZA (b.330)";"MALGA CAMPA (b.338-362)";1,551;1,978;1,551;1,978;4,800;4,830;"01:50";"01:20";"DOLOMITI DI BRENTA est";"Denno, Campodenno, Sporminore";
"O371";"SEZ. SAT TUENNO";"";"E";"MALGA POZZOL  (b.314)";"CAMPO FLAVONA (b.301)";1,632;2,198;1,632;2,198;5,100;5,160;"02:00";"01:30";"DOLOMITI DI BRENTA est";"Tuenno";
"O371B";"SEZ. SAT TUENNO";"";"E";"VERSANTE N TURION BASSO (b.371)";"VAL DI SANTA MARIA FLAVONA (b.314)";2,010;2,033;2,010;2,033;1,300;1,310;"00:45";"00:45";"DOLOMITI DI BRENTA est";"Tuenno";
"O373";"SEZ. SAT RALLO";"SENTIERO DELLA LASTA";"E";"CIARETAR";"QUOTA 1360 (b.313B)";768;1,360;768;1,360;4,000;4,070;"01:40";"01:10";"DOLOMITI DI BRENTA nord";"Tassullo";
"O374";"SEZ. SAT MALÈ";"";"EEA";"BAITA REGAZZINI (b.308)";"RIFUGIO PELLER (b.313-337)";764;1,990;764;1,990;8,100;8,210;"03:40";"02:40";"DOLOMITI DI BRENTA nord";"Cles, Caldes, Terzolas, Malè";
"O380";"SEZ. SAT TUENNO";"VIA FERRATA DEL SALT DE VAL GELADA VF - EEA-D";"EEA-D";"VAL MADRIS (b.310)";"PASSO VAL GELADA DI TUENNO (b.336)";1,820;2,686;1,820;2,686;5,300;5,400;"03:30";"02:50";"DOLOMITI DI BRENTA nord";"Tuenno";
"O382";"RIF. GROSTÈ \"GIORGIO GRAFFER\"";"";"EEA";"RISTORANTE VALLESINELLA (b.317)";"RIF. GROSTE \"GIORGIO GRAFFER\" (b.301-331-336)";1,513;2,263;1,513;2,263;5,600;5,660;"02:20";"01:45";"DOLOMITI DI BRENTA centrale";"Ragoli";
"O390";"RIF. GROSTÈ \"GIORGIO GRAFFER\"";"VIA FERRATA \"GUSTAVO VIDI\" VF - EEA-PD";"EEA-PD";"PASSO GROSTE' (b.301-305-306-316)";"ORTO (b.336)";2,442;2,522;2,442;2,663;2,800;2,840;"01:50";"01:45";"DOLOMITI DI BRENTA nord";"Tuenno, Ragoli";
"O391";"SEZ. SAT PINZOLO - ALTA RENDENA";"SENTIERO ATTREZZATO \"RICCARDO VIOLI\" SAA - EE";"E";"RIFUGIO CASINEI (b.317-317B-318)";"QUOTA 1990 (b.323)";1,825;1,990;1,810;1,990;3,700;3,720;"01:20";"01:10";"DOLOMITI DI BRENTA centrale";"Ragoli";
"O396";"SEZ. SAT O.C.";"VIA FERRATA \"OLIVA DETASSIS\" VF - EEA-D";"EEA-D";"BASE NE DEI GEMELLI (b.323)";"BOCCHETTA BASSA DEI MASSODI (b.305)";2,520;2,790;2,520;2,790;1,300;1,330;"01:00";"00:50";"DOLOMITI DI BRENTA centrale";"Ragoli, Molveno";
"O401";"SEZ. SAT RIVA DEL GARDA";"";"E";"VARONE - Via Carducci";"PRAI DA GOM (b.407)";150;1,125;150;1,125;11,480;11,720;"04:30";"03:50";"CASALE - BRENTO - MISONE";"Tenno, Arco";
"O402";"SEZ. SAT RIVA DEL GARDA, SEZ. SAT LEDRENSE";"";"E";"pr. BASTIONE (b.404)";"PASTORIA - Val di Concei";210;855;210;1,581;13,600;13,880;"05:25";"05:15";"LEDRENSI / Rocchetta - Cima Parì";"Concei, Riva del Garda";
"O402A";"SEZ. SAT RIVA DEL GARDA";"";"E";"pr. MALGA DOSSO DEI FIORI (b.402)";"pr. RIF. BOCCA DI TRAT(b.402-403-413-420-445)";1,430;1,581;1,430;1,581;610;630;"00:25";"00:15";"LEDRENSI / Rocchetta - Cima Parì";"Riva del Garda";
"O403";"SEZ. SAT LEDRENSE";"SENTER DE VAL DA VAI";"E";"LENZUMO - Tares";"pr. RIF. BOCCA TRAT (b.402-402A-413-420-445)";788;1,581;788;1,581;4,900;4,990;"02:30";"01:50";"LEDRENSI / Rocchetta - Cima Parì";"Concei";
"O404";"SEZ. SAT RIVA DEL GARDA";"VIA FERRATA DEL BASTIONE E DELLA ROCCHETTA - VF - EEA-F";"EEA-F";"RIVA DEL GARDA";"BOCHET DEI CONCOLI (b.417)";90;1,207;90;1,207;5,000;5,190;"03:10";"02:30";"LEDRENSI / Rocchetta - Cima Parì";"Riva del Garda";
"O404A";"SEZ. SAT RIVA DEL GARDA";"";"EE";"QUOTA 780 (b.405)";"QUOTA 900 (b.404)";780;900;780;900;500;520;"00:30";"00:20";"LEDRENSI / Rocchetta - Cima Parì";"Riva del Garda";
"O404B";"SEZ. SAT RIVA DEL GARDA";"VIA FERRATA DELL'AMICIZIA VF - EEA-D";"EEA-D";"BAITA DEI VVFF (b.404)";"VERSANTE E CIMA ROCCHETTA (b.418)";600;1,250;600;1,250;1,400;1,580;"02:40";"02:40";"LEDRENSI / Rocchetta - Cima Parì";"Riva del Garda";
"O405";"SEZ. SAT RIVA DEL GARDA";"VIA FERRATA \"FAUSTO SUSATTI\" VF - EEA-PD";"EEA-PD";"VAL SPERONE - inizio a 3 km da Riva";"CONDOTTE FORZATE (b.404)";150;375;150;907;5,420;5,710;"05:00";"05:00";"LEDRENSI / Rocchetta - Cima Parì";"Molina di Ledro";
"O405B";"SEZ. SAT RIVA DEL GARDA";"";"EE";"QUOTA 820 - in Val Sperone (b.405)";"VAL VOSOTINA ALTA (b.417)";820;1,000;0;1,000;710;760;"00:40";"00:30";"LEDRENSI / Rocchetta - Cima Parì";"Molina di Ledro";
"O406";"SEZ. SAT FIAVÈ, SEZ. SAT RIVA DEL GARDA";"";"E";"BALLINO - chiesa";"RIFUGIO MONTE SAN PIETRO (b.401)";755;974;570;974;7,500;7,610;"02:40";"02:30";"CASALE - BRENTO - MISONE";"Fiavè, Tenno, Riva del Garda";
"O406A";"SEZ. SAT RIVA DEL GARDA";"";"E";"TERRA ROSSA (b.406)";"CASA BASTIANI (b.406)";690;854;690;854;1,950;1,980;"00:40";"00:35";"CASALE - BRENTO - MISONE";"Tenno";
"O406B";"SEZ. SAT RIVA DEL GARDA";"";"E";"TENNO (b.401)";"CANALE (b.406)";444;598;444;598;2,000;2,020;"00:40";"00:30";"CASALE - BRENTO - MISONE";"Tenno";
"O407";"SEZ. SAT ARCO";"";"E";"MANDREA (b.408)";"MARCARIE (b.408-408B-425)";620;1,073;620;1,390;7,100;7,200;"03:10";"02:40";"CASALE - BRENTO - MISONE";"Arco";
"O408";"SEZ. SAT ARCO, SEZ. SAT PONTE ARCHE";"";"EE";"ARCO - Parco Arciducale";"LE QUADRE (b.411)";91;1,481;91;1,485;16,090;16,310;"06:45";"05:20";"CASALE - BRENTO - MISONE";"Arco, Lomaso";
"O408B";"SEZ. SAT ARCO, SEZ. SAT PONTE ARCHE";"";"EE";"pr. MARCARIE (b.407-408-425)";"VAL BONA ALTA (b.408)";1,073;1,365;1,073;1,545;5,380;5,500;"02:20";"02:00";"CASALE - BRENTO - MISONE";"Arco";
"O409";"SEZ. SAT ARCO";"";"E";"BIVIO STRADA VARIGNANO-PADARO";"VERSANTE SE MONTE BIAINA (b.407-407A)";200;1,125;200;1,125;5,500;5,620;"02:50";"02:15";"CASALE - BRENTO - MISONE";"Arco";
"O409B";"SEZ. SAT ARCO";"SENTIERO PIAZZOLE";"E";"CAVA CEMENTI (b.409)";"BOCCA DI TOVO (b.409)";260;1,079;260;1,079;4,100;4,190;"02:10";"01:30";"CASALE - BRENTO - MISONE";"Arco";
"O410";"SEZ. SAT PONTE ARCHE, SEZ. SAT RIVA DEL GARDA";"";"E";"MALGA LOMASONA";"CALINO (b.406)";536;940;536;966;5,180;5,230;"02:10";"01:45";"CASALE - BRENTO - MISONE";"Lomaso, Tenno";
"O411";"SEZ. SAT PONTE ARCHE";"";"E";"SS 237 DEL CAFFARO - km 102 (b.349B)";"MONTE CASALE";460;1,632;460;1,632;7,800;7,930;"03:20";"02:30";"CASALE - BRENTO - MISONE";"Lomaso";
"O412";"SEZ. SAT RIVA DEL GARDA";"";"E";"pr. SELLA MONTE CALINO (b.410)";"MALGA DI TENNO (b.433)";958;1,575;958;1,575;3,200;3,270;"02:00";"01:20";"CASALE - BRENTO - MISONE";"Tenno";
"O413";"SEZ. SAT RIVA DEL GARDA";"SENTIERO DELLE CIME";"EE";"VALLONE DEI CONCOLI (b.404)";"pr. BOCCA DI TRAT (b.402-402A-403-420-445)";1,100;1,581;1,100;1,720;9,790;9,930;"04:00";"03:30";"LEDRENSI / Rocchetta - Cima Parì";"Riva del Garda";
"O413A";"SEZ. SAT RIVA DEL GARDA";"";"EE";"VALLONE DEI CONCOLI (b. 404)";"QUOTA 1180 (b.413)";1,170;1,180;1,170;1,180;250;260;"00:10";"00:10";"LEDRENSI / Rocchetta - Cima Parì";"Riva del Garda";
"O414";"SEZ. SAT LEDRENSE, SEZ. SAT TIONE";"SENTER DEI GUI'";"E";"RIFUGIO AL FAGGIO - Val di Concei";"MALGA GAVARDINA";963;1,386;963;1,878;8,000;8,180;"03:50";"03:30";"LEDRENSI / Cadria - Stigolo";"Concei, Zuclo";
"O414B";"SEZ. SAT LEDRENSE";"SENTER DE LOMAR";"E";"BAIT DE LE VELE (b.414)";"VERSANTE O DEL DOSS DE LOMAR (b.452)";986;1,550;986;1,550;2,500;2,580;"01:30";"01:00";"LEDRENSI / Cadria - Stigolo";"Concei";
"O415";"SEZ. SAT LEDRENSE";"SENTER DE CROINA";"E";"TIARNO DI SOTTO (b.416)";"MALGA VIES (b.423-424-459)";735;1,555;735;1,605;6,740;6,830;"03:00";"02:10";"LEDRENSI / Cadria - Stigolo";"Tiarno di Sotto, Bezzecca";
"O416";"SEZ. SAT LEDRENSE";"SENTER DEL PIA'";"E";"TIARNO DI SOTTO (b.415)";"BOCCA CASET (b.419-456B)";735;1,608;735;1,608;6,200;6,290;"02:40";"02:00";"LEDRENSI / Tombea - Tremalzo - Carone";"Tiarno di Sotto, Tiarno di Sopra";
"O416B";"SEZ. SAT LEDRENSE";"SENTER DE MASOLIV";"E";"TIARNO DI SOPRA";"pr. CIMA VAI (b.416)";742;1,230;742;1,230;2,900;2,950;"01:30";"01:00";"LEDRENSI / Tombea - Tremalzo - Carone";"Tiarno di Sopra";
"O417";"SEZ. SAT RIVA DEL GARDA";"VIA DE ARI E SENTIERO";"E";"BIACESA";"VERSANTE N DI CIMA VALDES (b.413)";418;1,460;418;1,577;6,300;6,510;"04:00";"03:15";"LEDRENSI / Rocchetta - Cima Parì";"Molina di Ledro, Riva del Garda";
"O417A";"SEZ. SAT RIVA DEL GARDA";"";"E";"VERSANTE NE DI CIMA GIOCHELLO (b.413)";"SELLA NO DI CIMA GIOCHELLO (b.417)";1,420;1,485;1,420;1,485;460;480;"00:20";"00:20";"LEDRENSI / Rocchetta - Cima Parì";"Riva del Garda";
"O418";"SEZ. SAT RIVA DEL GARDA";"SENTER DEI CRAZIDEI";"E";"pr. SAN GIOVANNI - ruderi";"VERSANTE E DI CIMA ROCCHETTA (b.413)";470;1,300;470;1,300;2,400;2,550;"02:20";"01:30";"LEDRENSI / Rocchetta - Cima Parì";"Riva del Garda";
"O419";"SEZ. SAT LEDRENSE";"SENTER DE MALGA GIU'";"E";"PIAN DI PUR (b.421)";"TREMALZO - bivio strada asfaltata";669;1,521;669;1,608;9,400;9,510;"03:30";"02:50";"LEDRENSI / Tombea - Tremalzo - Carone";"Molina di Ledro, Tiarno di Sopra";
"O420";"SEZ. SAT FIAVÈ, SEZ. SAT RIVA DEL GARDA";"";"E";"pr. PASSO DEL BALLINO";"pr. BOCCA DI TRAT (b.402-402A-403-413-445)";760;1,581;760;2,151;15,200;15,430;"06:00";"05:30";"LEDRENSI / Pichea - Gavardina - Cogorna";"Fiavè, Tenno, Concei, Riva del Garda";
"O421";"SEZ. SAT LEDRENSE";"";"E";"PRE'";"PIAN DI PUR (b.419)";490;669;490;1,266;14,300;14,430;"04:20";"04:00";"LEDRENSI / Tombea - Tremalzo - Carone";"Molina di Ledro";
"O422";"SEZ. SAT RIVA DEL GARDA";"";"E";"pr. PREGASINA (b.422B)";"PASSO DI VIL - o Passo Guil (b.421)";560;1,209;560;1,240;4,500;4,620;"02:20";"01:45";"LEDRENSI / Tombea - Tremalzo - Carone";"Riva del Garda";
"O422A";"SEZ. SAT ROVERETO";"SENTER DE LA COSTA";"EE";"CALCHEROLE (b.422B)";"BOCCA LARICI - bivio 122-130-CAI (b.422B)";655;881;655;900;970;1,070;"01:20";"01:00";"LEDRENSI / Tombea - Tremalzo - Carone";"Riva del Garda";
"O422B";"SEZ. SAT RIVA DEL GARDA";"SENTER DE PALAER";"T";"PREGASINA";"PASSO DELLA ROCCHETTA (b.422)";532;1,159;532;1,159;4,400;4,480;"02:00";"01:20";"LEDRENSI / Tombea - Tremalzo - Carone";"Riva del Garda";
"O423";"SEZ. SAT LEDRENSE";"SENTER DE VIES";"E";"VAL MOLINI - ex centrale elettrica (b.452)";"MONTE CADRIA - o Monte Geometra (b.455)";945;2,254;945;2,254;5,600;5,770;"03:40";"02:40";"LEDRENSI / Cadria - Stigolo";"Concei";
"O424";"SEZ. SAT LEDRENSE";"SENTER DEI CANAI";"E";"PLAZA - Val dei Molini (b.459)";"MALGA VIES (b.415-423-459)";800;1,555;800;1,555;3,000;3,110;"02:20";"01:40";"LEDRENSI / Cadria - Stigolo";"Bezzecca";
"O425";"SEZ. SAT ARCO, SEZ. SAT PONTE ARCHE";"SENTIERO ATTREZZATO DELL'ANGIOM";"EE";"DRO - ponte sul Sarca";"LUNDO";121;749;121;1,090;10,700;10,870;"04:45";"04:15";"CASALE - BRENTO - MISONE";"Arco, Dro";
"O426";"SEZ. SAT TOBLINO - PIETRAMURATA, SEZ. SAT PONTE ARCHE";"VIA FERRATA DEL RAMPIN VF - EEA-PD";"EEA-PD";"PIETRAMURATA";"GODENZO";248;558;248;1,370;8,100;8,370;"04:50";"04:30";"CASALE - BRENTO - MISONE";"Dro, Lomaso";
"O427";"SEZ. SAT TOBLINO - PIETRAMURATA";"";"E";"PONTE DEL GOBBO - SS 45 bis";"CAPANNA \"DON ZIO PISONI\" (b.411)";254;1,600;254;1,600;8,400;8,600;"04:10";"03:10";"CASALE - BRENTO - MISONE";"Dro, Calavino, Lomaso";
"O427B";"SEZ. SAT TOBLINO - PIETRAMURATA";"";"E";"GALLERIA MOTTE - SS 237 del Caffaro";"QUOTA 515 (b.427)";410;515;0;515;600;610;"00:20";"00:15";"CASALE - BRENTO - MISONE";"Calavino";
"O428";"SEZ. SAT ARCO";"SENTIERO ATTREZZATO DEGLI SCALONI SAA - EE";"EE";"CENIGA - ponte romano (b.431)";"SANT'ANTONIO - strada provinciale (b.408)";118;766;118;766;2,600;2,740;"02:10";"01:40";"CASALE - BRENTO - MISONE";"Dro";
"O428B";"SEZ. SAT ARCO";"";"E";"DOS TONDO (b.428)";"LASTONI (b.425)";507;445;445;507;2,000;2,010;"01:00";"01:00";"CASALE - BRENTO - MISONE";"Dro";
"O429";"SEZ. SAT RIVA DEL GARDA";"";"EE";"TOF (b.422)";"BIACESA - bivio strada";660;357;357;800;2,090;2,200;"01:30";"01:45";"LEDRENSI / Tombea - Tremalzo - Carone";"Riva del Garda";
"O429A";"SEZ. SAT RIVA DEL GARDA";"";"EE";"QUOTA 786 (b.429)";"BOCCA DA LE' (b.429-430)";786;800;786;850;530;560;"00:25";"00:25";"LEDRENSI / Tombea - Tremalzo - Carone";"Riva del Garda";
"O430";"SEZ. SAT RIVA DEL GARDA";"SENTER DI CIMA NARA";"EE";"BOCCA DA LE' (b.429-429A)";"PRATI DI VIL - o Prati Guil (b.422)";800;1,250;800;1,360;4,410;4,550;"03:00";"02:15";"LEDRENSI / Tombea - Tremalzo - Carone";"Riva del Garda";
"O430A";"SEZ. SAT RIVA DEL GARDA";"";"EE";"QUOTA 1058 (b.430)";"CITTADELLA MILITARE - ruderi (b.430)";1,058;1,099;1,058;1,099;170;180;"00:10";"00:05";"LEDRENSI / Tombea - Tremalzo - Carone";"Riva del Garda";
"O430B";"SEZ. SAT RIVA DEL GARDA";"VARIANTE DEL SENTER DI CIMA NARA";"EE";"CRESTA N DI CIMA NARA (b.430)";"CRESTA S DI CIMA NARA (b.430)";1,257;1,360;1,257;1,360;870;880;"00:20";"00:15";"LEDRENSI / Tombea - Tremalzo - Carone";"Riva del Garda";
"O431";"SEZ. SAT ARCO";"SENTIERO DEL MONTE COLT";"EEA";"S. MARIA DI LAGHEL (b.408)";"CENIGA - ponte romano (b.428)";220;118;118;430;4,800;4,910;"02:45";"02:50";"CASALE - BRENTO - MISONE";"Arco";
"O431B";"SEZ. SAT ARCO";"VIA FERRATA DEI COLODRI VF - EEA-PD";"EEA-PD";"PRABI DI ARCO";"pr. CIMA COLODRI (b.431)";100;390;100;400;1,200;1,260;"01:30";"01:20";"CASALE - BRENTO - MISONE";"Arco";
"O432";"SEZ. SAT FIAVÈ";"";"E";"PASSO BALLINO - SS 421 km 48,2";"CALCHEROLA - o Sella Misone (b.433)";764;1,585;764;1,585;4,600;4,690;"02:00";"01:40";"CASALE - BRENTO - MISONE";"Fiavè";
"O433";"SEZ. SAT FIAVÈ";"";"E";"FAVRIO";"MALGA DI TENNO (b.412)";652;1,575;652;1,612;7,500;7,620;"03:00";"02:15";"CASALE - BRENTO - MISONE";"Fiavè, Lomaso";
"O443";"SEZ. SAT STORO";"";"E";"PONTE REGA' - SS 240 km 46,5";"pr. FIENILI DI SPESSA (b.444)";600;1,350;600;1,350;3,800;3,890;"02:00";"01:20";"LEDRENSI / Tombea - Tremalzo - Carone";"Storo";
